Time,open,high,low,close,volume
2020-08-19,0.9028,0.91546,0.90191,0.9148,198278.92033
2020-08-20,0.91479,0.91619,0.90697,0.90707,225796.32053
2020-08-21,0.90704,0.914,0.90612,0.91159,149126.97009
2020-08-23,0.9118,0.91209,0.9107,0.91202,5481.68
2020-08-24,0.912,0.91281,0.90746,0.91197,153430.07
2020-08-25,0.91197,0.91264,0.90726,0.9081,155942.85003
2020-08-26,0.90812,0.91207,0.90722,0.90752,153615.12013
2020-08-27,0.90751,0.91238,0.9036,0.90922,284694.27996
2020-08-28,0.90925,0.90997,0.90242,0.90423,220157.24016
2020-08-30,0.90431,0.90514,0.90328,0.90366,9407.82998
2020-08-31,0.90368,0.90534,0.89988,0.90409,582353.15049
2020-09-01,0.90407,0.91009,0.89992,0.90943,252522.67018
2020-09-02,0.90942,0.91369,0.90931,0.91138,204176.26021
2020-09-03,0.91138,0.91426,0.90827,0.91007,197418.32016
2020-09-04,0.91007,0.91635,0.90905,0.91343,178385.61025
2020-09-06,0.91334,0.91389,0.91314,0.91354,3118.8
2020-09-07,0.91354,0.91698,0.91207,0.91647,97246.5801
2020-09-08,0.91646,0.92008,0.91563,0.91811,208497.2402
2020-09-09,0.91811,0.91907,0.91186,0.91223,148589.87007
2020-09-10,0.91226,0.91227,0.90491,0.9103,198363.64015
2020-09-11,0.91029,0.91062,0.90796,0.90881,134577.94013
2020-09-13,0.90955,0.90961,0.90865,0.90895,3748.33
2020-09-14,0.90895,0.90987,0.90582,0.90843,120528.30005
2020-09-15,0.90845,0.90891,0.90513,0.90865,133163.93
2020-09-16,0.90865,0.91108,0.90549,0.91056,210695.96014
2020-09-17,0.91056,0.91396,0.908,0.90831,194174.32012
2020-09-18,0.90831,0.91167,0.9075,0.91156,135952.14003
2020-09-20,0.91159,0.9116,0.91006,0.91112,5610.42
2020-09-21,0.91113,0.91714,0.90869,0.91536,186457.61007
2020-09-22,0.91538,0.92077,0.91367,0.92012,190448.1402
