Indicator_Num,Indicator_Name,Entry_Params,Exit_Params,Entry_Combinations,Exit_Combinations,Total_Combinations
229,229_market_depth,period,"tp_pips, sl_pips",20,156,3120
230,230_bid_ask_spread,period,"tp_pips, sl_pips",20,156,3120
231,231_bid_volume,"period, threshold","tp_pips, sl_pips",400,156,62400
232,232_ask_volume,period,"tp_pips, sl_pips",20,156,3120
233,233_trade_intensity,period,"tp_pips, sl_pips",20,156,3120
234,234_trade_frequency,"period, threshold","tp_pips, sl_pips",400,156,62400
235,235_average_trade_size,"period, threshold","tp_pips, sl_pips",400,156,62400
236,236_large_trade_detector,"period, threshold","tp_pips, sl_pips",400,156,62400
237,237_block_trade_detector,"period, threshold","tp_pips, sl_pips",160,156,24960
238,238_institutional_volume,,"tp_pips, sl_pips",1,156,156
239,239_retail_volume,period,"tp_pips, sl_pips",20,156,3120
240,240_dark_pool_activity,"period, threshold","tp_pips, sl_pips",400,156,62400
241,241_skewness,period,"tp_pips, sl_pips",20,156,3120
242,242_kurtosis,period,"tp_pips, sl_pips",20,156,3120
243,243_zscore,"period, threshold","tp_pips, sl_pips",120,156,18720
244,244_tscore,period,"tp_pips, sl_pips",20,156,3120
245,245_percentile,period,"tp_pips, sl_pips",20,156,3120
246,246_quartile,period,"tp_pips, sl_pips",20,156,3120
247,247_iqr,period,"tp_pips, sl_pips",20,156,3120
248,248_mad,period,"tp_pips, sl_pips",20,156,3120
249,249_coefficient_variation,period,"tp_pips, sl_pips",20,156,3120
250,250_correlation_coefficient,period,"tp_pips, sl_pips",20,156,3120
251,251_covariance,period,"tp_pips, sl_pips",20,156,3120
252,252_beta,period,"tp_pips, sl_pips",20,156,3120
253,253_sharpe_ratio,period,"tp_pips, sl_pips",20,156,3120
254,254_sortino_ratio,period,"tp_pips, sl_pips",20,156,3120
255,255_calmar_ratio,period,"tp_pips, sl_pips",20,156,3120
256,256_linear_regression,period,"tp_pips, sl_pips",20,156,3120
257,257_polynomial_regression,"period, degree","tp_pips, sl_pips",120,156,18720
258,258_exponential_regression,period,"tp_pips, sl_pips",20,156,3120
259,259_logarithmic_regression,period,"tp_pips, sl_pips",20,156,3120
260,260_power_regression,period,"tp_pips, sl_pips",20,156,3120
261,261_ridge_regression,"period, alpha","tp_pips, sl_pips",80,156,12480
262,262_lasso_regression,"period, alpha","tp_pips, sl_pips",80,156,12480
263,263_elastic_net,,"tp_pips, sl_pips",1,156,156
264,264_time_series_regression,"period, lags","tp_pips, sl_pips",160,156,24960
265,265_auto_regression,"period, ar_order","tp_pips, sl_pips",160,156,24960
266,266_moving_average_model,"period, ma_order","tp_pips, sl_pips",160,156,24960
267,267_arma_model,"period, ar_order, ma_order","tp_pips, sl_pips",720,156,112320
268,268_arima_model,"period, ar_order, diff_order, ma_order","tp_pips, sl_pips",2880,156,449280
269,269_sarima_model,"period, seasonal_period","tp_pips, sl_pips",400,156,62400
270,270_garch_model,"period, threshold","tp_pips, sl_pips",400,156,62400
271,271_exponential_smoothing,alpha,"tp_pips, sl_pips",20,156,3120
272,272_holt_winters,"alpha, beta, gamma, seasonal_period","tp_pips, sl_pips",160000,156,24960000
273,273_kalman_filter,"process_variance, measurement_variance","tp_pips, sl_pips",400,156,62400
274,274_particle_filter,"num_particles, process_noise","tp_pips, sl_pips",400,156,62400
275,275_linear_regression_slope,period,"tp_pips, sl_pips",20,156,3120
276,276_candlestick_patterns,body_threshold,"tp_pips, sl_pips",20,156,3120
277,277_chart_patterns,"period, tolerance","tp_pips, sl_pips",400,156,62400
278,278_harmonic_patterns,"period, tolerance","tp_pips, sl_pips",400,156,62400
279,279_elliott_wave,period,"tp_pips, sl_pips",20,156,3120
280,280_fibonacci_retracements,,"tp_pips, sl_pips",1,156,156
281,281_fibonacci_extensions,,"tp_pips, sl_pips",1,156,156
282,282_fibonacci_fans,period,"tp_pips, sl_pips",20,156,3120
283,283_fibonacci_arcs,"period, threshold","tp_pips, sl_pips",400,156,62400
284,284_fibonacci_time_zones,start_index,"tp_pips, sl_pips",2,156,312
285,285_gann_angles,"period, threshold","tp_pips, sl_pips",400,156,62400
286,286_gann_square_of_9,"period, threshold","tp_pips, sl_pips",400,156,62400
